__time,/move_base/DWAPlannerROS/global_plan/header/seq,/move_base/DWAPlannerROS/global_plan/header/stamp
1666148947.878608,84.000000,0.000000
1666148947.930363,85.000000,0.000000
1666148947.980852,86.000000,0.000000
1666148948.028854,87.000000,0.000000
1666148948.081856,88.000000,0.000000
1666148948.133183,89.000000,0.000000
1666148948.179950,90.000000,0.000000
1666148948.227983,91.000000,0.000000
1666148948.278111,92.000000,0.000000
1666148948.328464,93.000000,0.000000
1666148948.377901,94.000000,0.000000
1666148948.427031,95.000000,0.000000
1666148948.479960,96.000000,0.000000
1666148948.526480,97.000000,0.000000
1666148948.579784,98.000000,0.000000
1666148948.627313,99.000000,0.000000
1666148948.677993,100.000000,0.000000
1666148948.728765,101.000000,0.000000
1666148948.778530,102.000000,0.000000
1666148948.831706,103.000000,0.000000
1666148948.878475,104.000000,0.000000
1666148948.929030,105.000000,0.000000
1666148948.979296,106.000000,0.000000
1666148949.028599,107.000000,0.000000
1666148949.080302,108.000000,0.000000
1666148949.129303,109.000000,0.000000
1666148949.177308,110.000000,0.000000
1666148949.227922,111.000000,0.000000
1666148949.279768,112.000000,0.000000
1666148949.326912,113.000000,0.000000
1666148949.378038,114.000000,0.000000
1666148949.427782,115.000000,0.000000
1666148949.479405,116.000000,0.000000
1666148949.528693,117.000000,0.000000
1666148949.577584,118.000000,0.000000
1666148949.630246,119.000000,0.000000
1666148949.678670,120.000000,0.000000
1666148949.728327,121.000000,0.000000
1666148949.779080,122.000000,0.000000
1666148949.829350,123.000000,0.000000
1666148949.878028,124.000000,0.000000
1666148949.928925,125.000000,0.000000
1666148949.979325,126.000000,0.000000
1666148950.029707,127.000000,0.000000
1666148950.079885,128.000000,0.000000
1666148950.129734,129.000000,0.000000
1666148950.180391,130.000000,0.000000
1666148950.229371,131.000000,0.000000
1666148950.280588,132.000000,0.000000
1666148950.328475,133.000000,0.000000
1666148950.380536,134.000000,0.000000
1666148950.429431,135.000000,0.000000
1666148950.480036,136.000000,0.000000
1666148950.529122,137.000000,0.000000
1666148950.580031,138.000000,0.000000
1666148950.629007,139.000000,0.000000
1666148950.682921,140.000000,0.000000
1666148950.734169,141.000000,0.000000
1666148950.782297,142.000000,0.000000
1666148950.829268,143.000000,0.000000
1666148950.877734,144.000000,0.000000
1666148950.928642,145.000000,0.000000
1666148950.978994,146.000000,0.000000
1666148951.027422,147.000000,0.000000
1666148951.079285,148.000000,0.000000
1666148951.128687,149.000000,0.000000
1666148951.178810,150.000000,0.000000
1666148951.229563,151.000000,0.000000
1666148951.277893,152.000000,0.000000
1666148951.328474,153.000000,0.000000
1666148951.379880,154.000000,0.000000
1666148951.430190,155.000000,0.000000
1666148951.480059,156.000000,0.000000
1666148951.529794,157.000000,0.000000
1666148951.582356,158.000000,0.000000
1666148951.630631,159.000000,0.000000
1666148951.679634,160.000000,0.000000
1666148951.730468,161.000000,0.000000
1666148951.780955,162.000000,0.000000
1666148951.829809,163.000000,0.000000
1666148951.881815,164.000000,0.000000
1666148951.930656,165.000000,0.000000
1666148951.983469,166.000000,0.000000
1666148952.030328,167.000000,0.000000
1666148952.079963,168.000000,0.000000
1666148952.130172,169.000000,0.000000
1666148952.180214,170.000000,0.000000
1666148952.231196,171.000000,0.000000
